,k_neighbors,metric,strategy,accuracy,elapsed_time,weight
70,1,cosine,ball_tree,[96.895 96.675 96.67 ],1558.0130846500397,0.0
71,2,cosine,ball_tree,[96.03  95.995 96.125],1558.0130846500397,0.0
72,3,cosine,ball_tree,[96.955 96.825 96.715],1558.0130846500397,0.0
73,4,cosine,ball_tree,[96.705 96.67  96.71 ],1558.0130846500397,0.0
74,5,cosine,ball_tree,[96.81 96.73 96.72],1558.0130846500397,0.0
75,6,cosine,ball_tree,[96.555 96.495 96.57 ],1558.0130846500397,0.0
76,7,cosine,ball_tree,[96.52 96.5  96.56],1558.0130846500397,0.0
77,8,cosine,ball_tree,[96.415 96.39  96.525],1558.0130846500397,0.0
78,9,cosine,ball_tree,[96.37  96.32  96.455],1558.0130846500397,0.0
79,10,cosine,ball_tree,[96.245 96.22  96.37 ],1558.0130846500397,0.0
80,1,euclidean,my_own,[96.895 96.675 96.67 ],383.54940009117126,1.0
81,2,euclidean,my_own,[96.895 96.675 96.67 ],383.54940009117126,1.0
82,3,euclidean,my_own,[97.075 96.91  96.825],383.54940009117126,1.0
83,4,euclidean,my_own,[97.13 96.98 97.01],383.54940009117126,1.0
84,5,euclidean,my_own,[96.925 96.825 96.875],383.54940009117126,1.0
85,6,euclidean,my_own,[97.04  96.845 96.945],383.54940009117126,1.0
86,7,euclidean,my_own,[96.735 96.595 96.7  ],383.54940009117126,1.0
87,8,euclidean,my_own,[96.76  96.665 96.78 ],383.54940009117126,1.0
88,9,euclidean,my_own,[96.51 96.43 96.57],383.54940009117126,1.0
89,10,euclidean,my_own,[96.47  96.465 96.57 ],383.54940009117126,1.0
90,1,euclidean,brute,[96.895 96.675 96.67 ],124.49189066886902,1.0
91,2,euclidean,brute,[96.895 96.675 96.67 ],124.49189066886902,1.0
92,3,euclidean,brute,[97.075 96.91  96.825],124.49189066886902,1.0
93,4,euclidean,brute,[97.13 96.98 97.01],124.49189066886902,1.0
94,5,euclidean,brute,[96.925 96.825 96.875],124.49189066886902,1.0
95,6,euclidean,brute,[97.04  96.845 96.945],124.49189066886902,1.0
96,7,euclidean,brute,[96.735 96.595 96.7  ],124.49189066886902,1.0
97,8,euclidean,brute,[96.76  96.665 96.78 ],124.49189066886902,1.0
98,9,euclidean,brute,[96.51 96.43 96.57],124.49189066886902,1.0
99,10,euclidean,brute,[96.47  96.465 96.57 ],124.49189066886902,1.0
100,1,euclidean,kd_tree,[96.895 96.675 96.67 ],2158.996821641922,1.0
101,2,euclidean,kd_tree,[96.895 96.675 96.67 ],2158.996821641922,1.0
102,3,euclidean,kd_tree,[97.075 96.91  96.825],2158.996821641922,1.0
103,4,euclidean,kd_tree,[97.13 96.98 97.01],2158.996821641922,1.0
104,5,euclidean,kd_tree,[96.925 96.825 96.875],2158.996821641922,1.0
105,6,euclidean,kd_tree,[97.04  96.845 96.945],2158.996821641922,1.0
106,7,euclidean,kd_tree,[96.735 96.595 96.7  ],2158.996821641922,1.0
107,8,euclidean,kd_tree,[96.76  96.665 96.78 ],2158.996821641922,1.0
108,9,euclidean,kd_tree,[96.51 96.43 96.57],2158.996821641922,1.0
109,10,euclidean,kd_tree,[96.47  96.465 96.57 ],2158.996821641922,1.0
110,1,euclidean,ball_tree,[96.895 96.675 96.67 ],1576.697993516922,1.0
111,2,euclidean,ball_tree,[96.895 96.675 96.67 ],1576.697993516922,1.0
112,3,euclidean,ball_tree,[97.075 96.91  96.825],1576.697993516922,1.0
113,4,euclidean,ball_tree,[97.13 96.98 97.01],1576.697993516922,1.0
114,5,euclidean,ball_tree,[96.925 96.825 96.875],1576.697993516922,1.0
115,6,euclidean,ball_tree,[97.04  96.845 96.945],1576.697993516922,1.0
116,7,euclidean,ball_tree,[96.735 96.595 96.7  ],1576.697993516922,1.0
117,8,euclidean,ball_tree,[96.76  96.665 96.78 ],1576.697993516922,1.0
118,9,euclidean,ball_tree,[96.51 96.43 96.57],1576.697993516922,1.0
119,10,euclidean,ball_tree,[96.47  96.465 96.57 ],1576.697993516922,1.0
120,1,cosine,my_own,[97.33  97.08  97.045],383.72798466682434,1.0
121,2,cosine,my_own,[97.33  97.08  97.045],383.72798466682434,1.0
122,3,cosine,my_own,[97.495 97.25  97.175],383.72798466682434,1.0
123,4,cosine,my_own,[97.545 97.32  97.365],383.72798466682434,1.0
124,5,cosine,my_own,[97.4   97.095 97.3  ],383.72798466682434,1.0
125,6,cosine,my_own,[97.465 97.14  97.305],383.72798466682434,1.0
126,7,cosine,my_own,[97.26  96.93  97.195],383.72798466682434,1.0
127,8,cosine,my_own,[97.295 97.045 97.22 ],383.72798466682434,1.0
128,9,cosine,my_own,[97.165 96.865 97.145],383.72798466682434,1.0
129,10,cosine,my_own,[97.145 96.855 97.14 ],383.72798466682434,1.0
130,1,cosine,brute,[97.33  97.08  97.045],121.79407954216003,1.0
131,2,cosine,brute,[97.33  97.08  97.045],121.79407954216003,1.0
132,3,cosine,brute,[97.495 97.25  97.175],121.79407954216003,1.0
133,4,cosine,brute,[97.545 97.32  97.365],121.79407954216003,1.0
134,5,cosine,brute,[97.4   97.095 97.3  ],121.79407954216003,1.0
135,6,cosine,brute,[97.465 97.14  97.305],121.79407954216003,1.0
136,7,cosine,brute,[97.26  96.93  97.195],121.79407954216003,1.0
137,8,cosine,brute,[97.295 97.045 97.22 ],121.79407954216003,1.0
138,9,cosine,brute,[97.165 96.865 97.145],121.79407954216003,1.0
139,10,cosine,brute,[97.145 96.855 97.14 ],121.79407954216003,1.0
140,1,cosine,kd_tree,[96.895 96.675 96.67 ],2157.9344203472137,1.0
141,2,cosine,kd_tree,[96.895 96.675 96.67 ],2157.9344203472137,1.0
142,3,cosine,kd_tree,[97.075 96.91  96.825],2157.9344203472137,1.0
143,4,cosine,kd_tree,[97.13 96.98 97.01],2157.9344203472137,1.0
144,5,cosine,kd_tree,[96.925 96.825 96.875],2157.9344203472137,1.0
145,6,cosine,kd_tree,[97.04  96.845 96.945],2157.9344203472137,1.0
146,7,cosine,kd_tree,[96.735 96.595 96.7  ],2157.9344203472137,1.0
147,8,cosine,kd_tree,[96.76  96.665 96.78 ],2157.9344203472137,1.0
148,9,cosine,kd_tree,[96.51 96.43 96.57],2157.9344203472137,1.0
149,10,cosine,kd_tree,[96.47  96.465 96.57 ],2157.9344203472137,1.0
150,1,cosine,ball_tree,[96.895 96.675 96.67 ],1583.6353254318237,1.0
151,2,cosine,ball_tree,[96.895 96.675 96.67 ],1583.6353254318237,1.0
152,3,cosine,ball_tree,[97.075 96.91  96.825],1583.6353254318237,1.0
153,4,cosine,ball_tree,[97.13 96.98 97.01],1583.6353254318237,1.0
154,5,cosine,ball_tree,[96.925 96.825 96.875],1583.6353254318237,1.0
155,6,cosine,ball_tree,[97.04  96.845 96.945],1583.6353254318237,1.0
156,7,cosine,ball_tree,[96.735 96.595 96.7  ],1583.6353254318237,1.0
157,8,cosine,ball_tree,[96.76  96.665 96.78 ],1583.6353254318237,1.0
158,9,cosine,ball_tree,[96.51 96.43 96.57],1583.6353254318237,1.0
159,10,cosine,ball_tree,[96.47  96.465 96.57 ],1583.6353254318237,1.0
weights,False,False,False,False,False,False
